free_text,label_id,clean_text
Xin link Facebook của hiếu minh,0,xin link_facebook của hiếu_minh
Quốc Thắng ơ bắt bạn phải vào tl cmt của tớ à ơ lạlol ghê,2,quốc_thắng ơ bắt bạn phải lời trả vào cmt của tớ à ơ_lạlol ghê
fan cứng?? thầy lồn cho tao fan cứng chúng mày ạ .. yêu thầy dấu bé ba = )),2,fan cứng ? ? thầy lồn cho tao fan cứng chúng_mày ạ .. yêu thầy dấu bé ba
"Mày chửi LQ xong bị thằng âm binh 11 nó lừa cho hơn trăm triệu, nhục mặt, gậy mày đập vào mặt mày ,đáng đời, chửi người ta làm sao mày gánh hết.",2,"mày chửi lq âm_binh bị thằng xong 11 nó lừa cho hơn trăm triệu , nhục_mặt , gậy mày đập vào mặt_mày , đáng đời , chửi người ta làm_sao mày gánh hết ."
Bắn bỏ đi thứ lắm Tiền mà cặn bã xã hội,2,bắn bỏ đi thứ lắm cặn_bã mà tiền xã_hội
Và cô viết tâm thư,0,và cô viết tâm_thư
Gro Annie xàm chỗ méo nào hả bro?,0,gro annie xàm chỗ méo nào hả bro ?
Ông tuân khoái chí lắm 🤣🤣,0,ông tuân_khoái chí lắm
Đệt cmm 😃,1,đệt mẹ mày
Thoại Trần đã không nói được lời nào lời nào hay ho xin câm con mẹ nó mồm vào,2,thoại trần đã không nói xin lời nào lời nào hay ho được câm con mẹ nó mồm vào
"Có 2 cảm xúc, face lag thật rồi :))",0,"có 2 cảm_xúc , face lag thật rồi"
Ở đấy ngột ngạt quá thì đưa nó qua vũ hán cho nó thoáng mát😡😡,2,ở đấy ngột_ngạt quá thì đưa nó qua thoáng cho nó vũ_hán mát
Thằng bóng khùng chết đói,2,thằng bóng khùng thằng chết đói
Cứ tưởng thế là ngầu,1,cứ tưởng thế_là ngầu
Vu Thuy Bich Vy cai nết ia md ne =))),1,vu ia_md bich vy cai_nết thuy ne
Dlv sủa hộ ?,2,dlv sủa hộ ?
thực ra bên nước ngoài nghỉ phép thì vẫn được nhận lương nhé ad,0,thực_ra bên nước_ngoài nghỉ_phép thì vẫn được nhận lương nhé ad
"phương chân của cụ là : \""CHẾT CẢ ĐỐNG CÒN HƠN SỐNG MỘT MÌNH \""",0,"phương chân của cụ là "" chết cả đống còn hơn sống một_mình \ """
"xem công an và báo nó rãnh hơn nè ! thông báo người ta lên kiểm tra xe mang theo giấy tờ nhưng mà toàn bộ xe giữ chả có thông tin gì ....vậy mà cũng tốn mấy trang báo để đăng !... nói ngu thì kỳ nhưng chắc vậy gọi là "" đúng quy trình "" nhỉ !",2,"xem công_an và báo nó rãnh hơn nè ! thông_báo người ta lên kiểm_tra xe mang theo giấy_tờ nhưng_mà toàn_bộ xe giữ chả có thông_tin gì .... vậy_mà cũng tốn mấy trang báo nó để đăng ! ... nói ngu thì kỳ nhưng chắc vậy gọi là "" đúng quy_trình "" nhỉ !"
Co lon dau ma chui lon mieng thang be de thui.,2,co lon dau ma chui lon mieng_thang be de thui .
Xaolol riết quen cô Ba ơi,2,xaolol riết quen cô ba ơi
Thằng nào nói láo cả nhà nó chết.,1,thằng nào nói láo cả nào nhà nó chết .
dạo này pản động nhiếu quá mấy bạn bò đỏ ah :D,2,dạo này pản_động nhiếu quá mấy bò đỏ
Tao địt cần biết thằng lồn nào nghe máy trộm,2,tao địt cần biết thằng lồn nào nghe máy trộm
Mẹ tụi ko có não mới kếu là phản động. Ko hiểu chuyen j ma cu nói tới cs la tụi nó nhảy tưng tưng lên ý như là ăn hết của ông bà ông vãi tụi nó mẹ ngu dốt mà tưởng thông minh,2,mẹ tụi ko có não mới kếu là phản_động . ko hiểu chuyen j ma cu nói tới cs_la tụi nó nhảy_tưng tưng lên_ý như là ăn hết của ông_bà ông vãi tụi nó mẹ ngu_dốt mà tưởng thông_minh
Đéo ai đùa như thế,1,đéo ai đùa như ai thế
Mẹc si sa đéc :)),0,mẹc si_sa đéc
Tại ... những vụ này.,0,tại ... những vụ này .
Khó quá bỏ qua :((,0,khó quá bỏ_qua
Haha lại ba que xỏ lá,2,haha lại ba lại que xỏ lá
"Thằng Giám Đốc Sở sẽ lôi thằng đánh máy ra kỷ luật, đúng quy trình",2,"thằng giám_đốc sở sẽ lôi thằng đánh_máy ra kỷ_luật , đúng quy_trình"
xã hội vn thối nát rồi... bây h chúng nó chỉ mong vơ vét của dân cho nhiều rồi chuồn ra nước ngoài thôi.. phải có một hồ chủ tịch thứ hai,2,xã_hội việt nam thối nát rồi ... bây_h chúng_nó chỉ mong vơ_vét của dân cho nhiều rồi chuồn ra nước_ngoài thôi .. phải có một hồ chủ_tịch thứ hai
Sao lon qua cai ba oi,2,sao lon qua cai ba lon oi
"đúng là cái dân Bắc Kỳ, tội này là do Đảng cả - ad cho hay :3",2,"đúng là cái dân , tội này là do đảng cả - ad cho_hay"
Loạn vl,1,vãi loạn vãi lồn
"Má, .....xăng xuống giá mà luật CA cứ tăng tên",1,"má , ..... xăng xuống mà cứ tăng tên"
Sam Bé Bố mày đéo có tư cách ở đây! Bố chửi thẳng cái thằng mặt lìn như mày đấy! Tay nhanh hơn não,2,sam bé bố mày đéo ở tư_cách có đây !_bố chửi thẳng cái thằng mặt lìn như mày đấy ! tay nhanh hơn não
Bắt nộp phạt ngay 😳,0,bắt nộp phạt ngay
Gì ba giào vá hà cho con ít sài đi,0,gì ba giào vá_hà cho con ít sài đi
me nhà no,1,me nhà no
Khúc đầu nứng quá thầy uii,0,khúc đầu nứng quá thầy uii
Mình đanh vĩnh biệt cao lôn đi anh,1,mình đanh vĩnh_biệt cao_lôn đi anh
Trym anh độ có gì mà ai cũng xem vậy?,1,trym anh độ có gì mà ai cũng xem ? vậy
Đinh Phước cmt trên thì k thấy chửi =))) mà cmt này lại quay ra chửi =))) chắc là thấy gái nên nứng hết cả buồi nên k dám chửi bác ạ =)))))),2,đinh trên phước_cmt thì k thấy chửi mà cmt này lại quay ra chửi chắc là thấy gái nên nứng hết cả buồi nên k dám chửi bác ạ
Tấu hai bonsa phát sóng,0,tấu hai bonsa phát_sóng
8:50,0,8 : 50
Khoe khoan láo phét đeo.vàng gïã.sőng gïa tąo.,2,khoe phét đeo . vàng gïã . sőng gïa tąo .
Sena ám bỏ mẹ,2,mẹ ám_bỏ sena
Da chua cô ba oi,0,da chua cô ba oi
Con mẹ mày trốn học thầy tao qua đây khịa cái gì đây 😁😁😁,2,mẹ trốn thầy tao qua đây khịa cái gì
Mày k thoát được đâu con trai,0,mày k thoát được đâu con trai
Nguyễn Hương Sen ô chuẩn r,0,nguyễn_hương_sen ô chuẩn r
Bảo xuyên ơi nhìn em rưng rưng nước đái .hahaha,1,bảo nước ơi nhìn em rưng_rưng xuyên đái . hahaha
Khùng thiệt khùng tới mức bực bội luôn mấy đứa...😄😄😄,0,khùng thiệt_khùng tới mức bực_bội luôn mấy đứa ...
Thời buổi nào rồi mà còn yêu đương. Ăn học k lo. Yêu yêu cl,1,thời_buổi nào rồi mà_còn yêu_đương lo . ăn_học k lo . yêu yêu cái lồn
Nguyễn Hoàng Khởi nữa tui quay MV đẹp hơn cho bạn nhe :v,0,nguyễn_hoàng_khởi nữa tui quay mv đẹp hơn cho bạn nhe
Tao sẽ ghé đái 1 bãi ngay,1,tao ngay ghé đái 1 bãi sẽ
Chuyên toán và rất xuất sắc môn anh văn,0,chuyên_toán và rất xuất_sắc môn anh văn
"Ôi vẽ chuyện, kiểu của bọn này lúc nào chẳng vậy. Phát ngôn ngáo để tăng độ nổi thêm chút, hôm sau xin lỗi để mn bỏ qua, nhưng nổi tiếng thì giữ lại. Lợi như thế cơ mà",2,"ôi vẽ , kiểu bọn này lúc_nào chẳng vậy phát_ngôn ngáo để tăng độ nổi thêm , hôm sau xin_lỗi để mọi người bỏ_qua , nhưng nổi_tiếng thì giữ lại . lợi như_thế cơ mà"
Tên bán nam bán nữ,1,tên bán tên nam bán nữ
Vải lông gì tỷ nổ lằn nổ lốn dell ai quan tâm,2,vải lông gì tỷ nổ lằn nổ lốn dell ai quan_tâm
chơi cái đầu bồi 😒 mất hình tượng vc ông ạ 😶,1,chơi đầu cái bồi_mất hình_tượng vãi cặc ông ạ
Chống tham nhũng ở ViêtNam như kiểu con Mèo ăn miếng mỡ thì bắt được còn Còn cọp ăn con hươu thì đeoa bắt đc,2,chống tham_nhũng ở viêtnam như kiểu con mèo chống ăn miếng mỡ thì bắt được còn còn cọp ăn con hươu thì đeoa bắt đc
Anh độ dễ như phò ấy :3,2,anh độ dễ như phò ấy
Trung leesin,0,trung_leesin
Minh Khánh đr b bài này t nghe hơi ngứa xíu,1,khánh_đr minh b bài này t nghe hơi ngứa_xíu
bị bắt buộc và tự nguyện nó có khác nhau không hả các ông :D,0,bị bắt_buộc và tự_nguyện nó có khác nhau không hả các ông
"Nguyễn Việt Nam ,  Ủa cứt 🐕‍🦺 vàng 👈 mới biết đó nghen. 🖕",1,"nguyễn_việt_nam cứt ủa , vàng mới biết đó nghen ."
Văn hoá máu lồn huh? =)) mất dậy nhưng có che đậy gì đâu :)) Like,1,văn hóa máu lồn huh ? mất dậy có che_đậy gì đâu like
hiếp...:))),1,... hiếp
Tết r mà vẫn chưa có tiền thầy ạ 😕,0,tết r mà vẫn chưa có tiền thầy ạ
Đúng là ngưu tầm ngưu. Ăn chơi phè phỡn ở nc ngoài rồi đến lúc bệnh thì mới nhớ đến quê hương Tổ quốc,1,đúng là ngưu tầm_ngưu . ăn_chơi rồi phỡn ở nước ngoài phè đến lúc bệnh thì mới nhớ đến quê_hương tổ_quốc
Ohhhh. Tiến lên miền Bắc là chỉ được chặt một cây 2 thôi hâhhaa,0,oh . tiến lên miền bắc là chỉ được chặt một cây 2 thôi hâhhaa
Cái thớt IDOl Live này đăng tin toàn để chúng chửi : )),2,cái thớt idol live này đăng_tin toàn chúng
Nỗ lực làm phò...cao cấp à?,1,nỗ_lực làm phò ... à cao_cấp ?
"công nghệ làm sạch môi trường của nhật cản trở tham nhũng của công chức búa liềm, đúng là chuyện hài nhà sản",2,"công_nghệ làm sạch môi_trường của nhật cản_trở tham_nhũng của công_chức búa_liềm , đúng là chuyện hài nhà_sản"
Lối chơi của Arsenal sẽ cực kỳ nguy hiểm,0,lối chơi của arsenal sẽ cực_kỳ nguy_hiểm
"mua hàu có tặng kèm đối tác hay gì không các ông, mịa uống xong nằm đấy vs tay trái thì lại chán bỏ mẹ",1,"mua hàu có tặng kèm đối_tác hay gì không các ông , mịa uống xong nằm đấy vs tay_trái lại thì lại chán bỏ mẹ"
