free_text,label_id,clean_text
Em được làm fan cứng luôn rồi nè ❤️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0,em được làm fan cứng luôn rồi nè reaction quá hay quá cute coi mấy giờ này quá hợp_lí
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2,đúng là bọn mắt híp lò_xo thụt bên việt_nam t cái này ra cách đây 10 năm r và bọn t gọi_là cái l
Đậu Văn Cường giờ giống thằng sida hơn à,0,đậu văn_cường giờ giống thằng sida hơn à
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,2,côn_đồ cục súc vô_nhân_tính đề_nghi việt nam . nhà_nước việt nam ban thưởng .
Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0,từ lý_thuyết đến thực_hành là cả 1 câu_chuyện dài
Coronavirus is manmade,0,coronavirus is manmade
Đố chúng m nhận ra ai,0,đố chúng mày nhận ra ai
Lúp lúp như chó .,1,lúp lúp như chó .
🥰🥰🥰,0,
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",2,"thế mà mình nói mấy thằng bắc_kì , bọn đó lại bâu vô nói mình phân_biệt !"
"Được anh ưi, lâu rồi không nghe phúc du rap 🤣",0,"được anh ưi , lâu rồi không nghe phúc_du_rap"
Cắt cho trẻ trâu bớt thui mà 😂😂😂,0,cắt cho trẻ trâu bớt thui mà
Nghe rất vô lí nhưng cực kì thuyết phục,0,nghe rất vô_lí nhưng cực_kì thuyết_phục
"chán ghê hong có pé 2 mới máu được, hâhha",0,"chán ghê_hong có pé 2 mới máu được , hâhha"
Sao t gửi đc bây,0,sao t gửi đc bây
thế đấy. làm j bọn nó. bọn nó có quyền nên làm j chả được :v,0,thế đấy . làm gì bọn nó . bọn nó có quyền nên làm gì chả được
Loại này cho dựa cột thôi chứ độ thế nào,2,loại này cho dựa cột thôi chứ độ thế_nào
Thuong wa di,0,thuong wa di
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,1,dạy bơi cho cá . bơi thì đương_nhiên nó bơi được vì nó là cá . làm_sao cho nó sống được mới là điều người_dân đang quan_tâm .
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2,ủa chứ bữa xin_lỗi khóc tế_om xòm mà giờ chửi nữa rồi bó_tay con này hỗn quá
Bamtp chạy ngay ddi:)),0,bamtp chạy ngay ddi
Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0,cứ đăng cái ảnh 2 bố_con là y_như_rằng bị đổi
"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn, phát sóng 9h tối 23 Tết trên VTV3 :))",0,"dàn táo năm nay làm chương_trình táo_quân vi_hành nhé mọi người , phát_sóng 9 h tối 23 tết trên vtv3"
Thật chán với chế độ quản lý dân sinh,2,thật chán với chế_độ quản_lý dân_sinh
Đời vô thường lắm..sống phải tu tâm tích đức cô oi..khẩu nghiệp quá cô ơi,0,đời vô thường lắm .. sống phải tu_tâm_tích đức cô oi .. khẩu_nghiệp quá cô ơi
"có ai biết làm cách nào để tìm lại được, đồng đội, đồng chí, hay bạn hữu cùng đơn vị của người trong bức ảnh không.",0,"có ai biết làm cách nào để tìm lại được , đồng_đội , đồng_chí , hay bạn_hữu cùng đơn_vị của người trong bức ảnh không ."
Sống chậm lại các mày ?,0,sống chậm lại các mày ?
Chương trình quảng cáo xin đc bắt đầu,0,chương_trình quảng_cáo xin đc bắt_đầu
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,2,nguyễn_hữu_nhân đớp cả của cháu . thứ mắc dạy
Nhậu cái đm chúng mày lũ chó hại dân hại nước,2,nhậu cái địt mẹ chúng_mày lũ chó_hại dân_hại nước
Thế Vinh Yasbaga tối cao,0,thế vinh_yasbaga tối_cao
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,2,mài có óc để suy_nghĩ ko_add ? cái đồng băng đó mài tính đào hồ bao nhiêu cho đủ hả thằng ngu ?
chuẩn,0,chuẩn
Chỉ 3 vàng ngọc như con heo nọc nhà e,2,chỉ 3 vàng ngọc như con heo nọc nhà e
phải thầy k ta,0,phải thầy k ta
Cảnh sát chính tả comingg nè :)),0,cảnh_sát chính_tả comingg nè
Xuân đương tới nghĩa là xuân đương qua,0,xuân đương_tới nghĩa_là xuân đương_qua
Nhìn chúng nó cmt mà đắng bạn à =))))))),0,nhìn chúng_nó cmt mà đắng bạn à
Ý thức còn ít hơn cả số tiền trong túi t,1,ý_thức còn ít hơn cả số tiền trong túi t
Em yêu anh từ thuở tóc dài,0,em yêu anh từ thuở tóc dài
theo chân mấy anh hàn quốc rồi :,0,theo chân mấy anh hàn_quốc rồi :
"Lương tháng 7,8 củ thui ak con trai, nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0,"lương tháng 7,8 củ thui ak con trai , nhưng bố vẫn ăn tạm cua_hoàng_đế để sống wa ngày thôi con trai ak"
Mệt quá thầy ạ 😞,0,mệt quá thầy ạ
Gia Lộc Tran Quang còn j vui hơn cà khịa :)))))),0,gia_lộc tran_quang còn j vui hơn cà_khịa
chị Hôm nay đẹp quá,0,chị hôm_nay đẹp quá
Xem r nè,0,xem r nè
Việt Tiến nghèo là rõ 🤦,0,việt tiến nghèo là rõ
xxx video 🔞,1,x video
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2,thầy đéo xóa kênh kêu_gọi học_trò report cho bay kênh thiệt luôn
Anh ba láo nháo là Tú xiên giờ,2,anh ba láo_nháo là tú_xiên giờ
Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0,người ta bị lường gạt 1 tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la_um xùm_hà
Tú thích hoa hồng và mùa đông được Quang đâm phía sau mông,0,tú thích hoa_hồng và mùa đông được quang đâm phía sau mông
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",2,"mẹ , sao bộ k mở cửa_hàng kinh_doanh bán bình luôn cho dân , ko lại phạt vì mua phải bình_đểu"
Cuối cùng anh đã trở lại. Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình( nội dung mang tính giải trí. Ko có ý anti hay ghét ai),0,cuối_cùng anh đã trở_lại . em tưởng anh biến mất luôn cho em mừng_thiệt là tình ( nội_dung mang tính giải_trí . ko có ý_anti hay ghét ai )
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,2,chi 3 cai_gi cung_co nhung cai_lờ_la chi 3 hét kiếp nay cung_k bao gio_co .
